iter	RMSE
167	36030.47137
168	35992.73978
169	35959.12077
170	35904.49959
171	35869.29723
172	35790.06901
173	35745.66507
174	35660.99299
175	35601.41541
176	35547.7276
177	35477.72609
178	35420.26487
179	35352.01925
180	35309.01237
181	35247.11484
182	35205.92362
183	35151.40735
184	35069.74378
185	35009.23638
186	34932.32578
187	34856.04299
188	34821.43496
189	34736.99227
190	34690.18145
191	34645.41514
192	34556.4893
193	34490.64604
194	34438.12995
195	34383.10523
196	34293.45837
197	34274.31735
198	34217.02222
199	34165.02211
200	34108.63468
201	34046.69305
202	34013.44018
203	33966.2311
204	33906.65298
205	33839.88066
206	33757.88961
207	33723.87786
208	33680.91546
209	33653.39717
210	33604.29913
211	33542.32072
212	33476.43531
213	33426.57605
214	33378.11982
215	33319.16066
216	33263.54544
217	33223.49029
218	33160.01464
219	33113.81392
220	33081.03802
221	33055.64079
222	33026.92637
223	32969.29742
224	32911.37705
225	32849.72348
226	32813.65292
227	32760.59271
228	32722.73512
229	32645.05879
230	32614.53614
231	32581.99036
232	32543.57709
233	32488.41248
234	32449.7319
235	32416.8954
236	32354.42185
237	32328.23347
238	32287.87157
239	32241.88317
240	32219.17656
241	32191.28936
242	32142.93969
243	32085.37169
244	32044.18584
245	32006.66807
246	31980.31372
247	31934.22301
248	31872.73284
249	31828.03599
250	31763.14821
251	31716.67008
252	31662.88954
253	31618.76681
254	31571.91084
255	31541.76374
256	31492.80101
257	31463.3959
258	31434.35355
259	31403.45489
260	31365.06171
261	31318.19562
262	31269.8136
263	31243.28087
264	31218.49014
265	31156.60768
266	31090.09513
267	31044.86494
268	31006.67603
269	30975.42581
270	30949.45057
271	30896.88968
272	30855.48762
273	30823.92489
274	30802.64241
275	30774.91536
276	30733.6106
277	30671.91575
278	30618.0352
279	30565.8005
280	30539.31322
281	30490.48223
282	30443.07989
283	30395.89352
284	30334.37093
285	30310.0271
286	30251.01886
287	30166.20136
288	30106.23248
289	30064.68888
290	30035.03791
291	29985.35719
292	29942.14988
293	29902.0474
294	29877.77439
295	29823.0211
296	29787.96189
297	29753.0745
298	29702.28292
299	29668.42836
300	29620.55286
301	29592.74809
302	29555.68177
303	29521.39063
304	29460.16395
305	29400.2806
306	29365.55875
307	29339.91987
308	29296.32165
309	29255.52187
310	29216.5329
311	29159.99854
312	29125.22493
313	29059.561
314	29018.06651
315	28970.03581
316	28940.09609
317	28918.43212
318	28876.65869
319	28856.0718
320	28823.82143
321	28775.77145
322	28756.48497
323	28736.21677
324	28704.36553
325	28656.61119
326	28622.07041
327	28589.3762
328	28569.17221
329	28533.29191
330	28497.34293
331	28445.41422
332	28399.61991
333	28379.35382
334	28352.82978
335	28301.61243
336	28255.9047
337	28227.38422
338	28181.06035
339	28138.55438
340	28107.9701
341	28080.92824
342	28052.82526
343	28024.355
344	27984.12639
345	27956.59858
346	27935.93504
347	27908.18188
348	27865.21297
349	27827.65257
350	27789.31249
351	27755.59673
352	27718.13579
353	27687.00591
354	27655.21823
355	27608.31494
356	27572.46328
357	27528.65509
358	27468.56174
359	27443.33929
360	27414.48491
361	27379.12072
362	27348.30177
363	27316.28893
364	27297.89189
365	27267.25585
366	27206.78814
367	27178.77579
368	27141.93706
369	27120.965
370	27084.68199
371	27056.85231
372	27026.32043
373	26990.15622
374	26953.71475
375	26921.82879
376	26891.99101
377	26853.65641
378	26816.50732
379	26798.59973
380	26770.04799
381	26715.85678
382	26690.28994
383	26668.92717
384	26629.32104
385	26583.34639
386	26558.91913
387	26521.01383
388	26488.78059
389	26433.77878
390	26413.50247
391	26357.29856
392	26318.84566
393	26287.41551
394	26267.48607
395	26221.97071
396	26193.58496
397	26170.77961
398	26127.12948
399	26111.51822
400	26073.18201
401	26049.96511
402	26015.04754
403	25996.52789
404	25975.11519
405	25964.11684
406	25938.79431
407	25909.9644
408	25871.02269
409	25837.44992
410	25795.38988
411	25756.96338
412	25711.99467
413	25676.88571
414	25645.94176
415	25616.36404
416	25565.94732
417	25525.9401
418	25507.50339
419	25476.85166
420	25459.61743
421	25439.23099
422	25415.76813
423	25390.78568
424	25362.50744
425	25347.54888
426	25327.75336
427	25296.72945
428	25269.03034
429	25232.4133
430	25175.51254
431	25149.15466
432	25114.75658
433	25065.05402
434	25010.12676
435	24973.35418
436	24930.08065
437	24903.56597
438	24877.32451
439	24852.77401
440	24828.62375
441	24803.01302
442	24782.52244
443	24772.0815
444	24740.04522
445	24724.77546
446	24696.92018
447	24669.76911
448	24649.35534
449	24624.80774
450	24615.77127
451	24584.76666
452	24573.45476
453	24538.74404
454	24520.26105
455	24507.57966
456	24487.00046
457	24455.58765
458	24430.26608
459	24395.74178
460	24382.50032
461	24359.11965
462	24334.23916
463	24299.13615
464	24256.31541
465	24231.56098
466	24215.34638
467	24172.49381
468	24145.43652
469	24102.17549
470	24079.08827
471	24058.74794
472	24017.40739
473	23998.89392
474	23982.63873
475	23974.9726
476	23955.60292
477	23916.8545
478	23902.14525
479	23874.21316
480	23839.53812
481	23807.73274
482	23779.47417
483	23764.5348
484	23728.46101
485	23672.97982
486	23621.90622
487	23601.53016
488	23570.36592
489	23550.30608
490	23518.039
491	23495.60028
492	23464.54151
493	23444.24051
494	23404.44916
495	23390.72219
496	23372.38486
497	23345.53347
498	23299.08627
499	23261.40154
500	23233.90286
501	23197.83424
502	23188.00897
503	23152.46272
504	23139.94402
505	23099.9533
506	23087.25611
507	23048.44399
508	23005.85003
509	22977.16412
510	22962.07524
511	22933.72179
512	22927.22528
513	22896.95403
514	22854.36833
515	22831.64417
516	22807.28115
517	22779.44701
518	22744.1407
519	22725.48698
520	22677.4721
521	22633.32342
522	22592.34325
523	22557.6267
524	22518.77349
525	22475.56761
526	22448.81522
527	22404.00194
528	22376.05703
529	22338.38228
530	22292.79926
531	22257.06323
532	22236.24529
533	22188.19556
534	22156.40184
535	22133.39313
536	22110.21319
537	22087.75332
538	22063.28174
539	22038.08791
540	22001.97935
541	21991.37275
542	21950.41449
543	21925.34371
544	21905.76969
545	21893.88995
546	21880.14399
547	21853.25295
548	21829.91788
549	21810.1233
550	21780.08878
551	21751.65449
552	21718.66434
553	21686.49483
554	21676.05264
555	21663.77519
556	21633.51947
557	21613.24581
558	21591.11638
559	21579.13995
560	21558.04108
561	21530.55971
562	21489.20331
563	21445.31188
564	21417.21892
565	21383.49485
566	21357.71757
567	21329.88331
568	21303.86746
569	21290.09919
570	21250.63527
571	21207.60245
572	21181.74344
573	21162.07335
574	21138.1946
575	21123.23957
576	21082.29648
577	21056.94259
578	21020.22474
579	20988.37667
580	20964.89121
581	20943.00312
582	20923.82013
583	20900.63822
584	20872.36394
585	20849.44168
586	20826.98677
587	20790.7528
588	20759.45317
589	20731.34804
590	20705.31417
591	20686.43353
592	20661.99824
593	20642.15522
594	20624.76068
595	20598.35862
596	20591.77356
597	20546.4041
598	20528.91099
599	20516.36869
600	20499.49823
601	20467.88265
602	20453.09388
603	20427.01985
604	20388.32858
605	20357.19558
606	20338.67138
607	20299.2555
608	20286.91732
609	20265.43166
610	20247.6852
611	20227.76433
612	20201.45642
613	20173.50238
614	20158.99464
615	20129.73827
616	20114.07965
617	20093.01783
618	20045.76595
619	20023.8867
620	20014.5406
621	19988.95172
622	19972.08297
623	19951.48737
624	19938.72894
625	19921.49885
626	19902.69016
627	19889.01015
628	19881.35588
629	19856.89914
630	19836.7831
631	19812.48997
632	19796.71221
633	19785.73858
634	19766.7585
635	19744.2199
636	19713.58897
637	19690.93038
638	19672.18687
639	19656.89491
640	19623.63186
641	19607.75733
642	19588.63379
643	19564.70576
644	19558.04955
645	19539.52287
646	19514.47658
647	19505.89005
648	19486.76894
649	19452.14574
650	19436.31419
651	19415.98557
652	19397.66382
653	19366.74923
654	19338.85987
655	19318.49412
656	19300.53886
657	19263.85912
658	19243.3431
659	19228.75265
660	19209.52107
661	19190.83091
662	19176.8807
663	19142.82269
664	19113.16987
665	19099.90185
666	19073.04283
667	19039.76855
668	19013.17297
669	18984.78299
670	18963.61298
671	18935.20482
672	18912.79136
673	18888.59245
674	18864.0303
675	18846.94787
676	18827.38206
677	18804.64656
678	18767.43564
679	18739.24835
680	18710.25856
681	18693.8286
682	18672.48582
683	18648.41904
684	18627.99397
685	18613.71581
686	18591.95354
687	18575.17555
688	18547.65066
689	18521.21435
690	18509.61137
691	18494.64181
692	18463.42842
693	18441.29243
694	18404.12331
695	18389.89106
696	18371.53543
697	18345.78593
698	18333.42328
699	18323.92374
700	18310.3054
701	18294.35145
702	18261.94774
703	18237.59278
704	18224.90875
705	18202.21271
706	18171.2377
707	18165.16235
708	18152.60568
709	18132.60216
710	18108.8133
711	18092.09279
712	18078.3216
713	18045.51498
714	18009.16252
715	17999.49793
716	17975.70692
717	17942.68273
718	17934.00174
719	17916.17694
720	17893.32302
721	17866.38651
722	17848.25771
723	17835.84903
724	17824.7496
725	17803.6029
726	17780.96031
727	17743.78957
728	17727.06963
729	17702.81253
730	17681.87675
731	17653.52861
732	17629.3937
733	17619.17003
734	17600.65221
735	17584.15115
736	17548.83942
737	17515.35353
738	17498.44534
739	17476.91577
740	17456.1431
741	17428.42545
742	17415.10378
743	17387.50659
744	17369.40649
745	17332.27414
746	17310.66355
747	17302.01163
748	17278.93935
749	17263.51467
750	17246.1374
751	17234.47508
752	17217.21776
753	17193.34539
754	17165.91576
755	17147.16634
756	17130.56715
757	17111.0467
758	17096.05432
759	17086.11297
760	17071.12205
761	17040.88479
762	17033.21134
763	17004.34152
764	16986.40906
765	16961.53191
766	16947.86304
767	16937.4187
768	16912.86894
769	16898.04396
770	16883.18069
771	16855.31841
772	16828.05404
773	16817.94797
774	16805.52883
775	16794.29867
776	16777.18105
777	16744.74565
778	16727.69804
779	16701.68429
780	16687.71026
781	16668.27306
782	16648.1987
783	16623.23467
784	16601.45443
785	16580.28598
786	16557.33418
787	16539.4837
788	16521.45325
789	16512.80173
790	16483.66364
791	16470.36839
792	16461.4178
793	16446.58204
794	16439.4054
795	16425.57193
796	16410.57768
797	16375.05058
798	16367.2086
799	16350.31955
800	16341.29412
801	16324.16231
802	16315.55797
803	16298.37864
804	16282.54828
805	16270.65929
806	16240.57258
807	16215.26274
808	16209.66552
809	16192.21402
810	16183.72547
811	16153.37467
812	16140.52686
813	16125.15811
814	16109.26009
815	16082.44796
816	16057.77894
817	16048.4078
818	16027.56012
819	16017.91145
820	16000.31813
821	15979.26546
822	15962.19822
823	15935.39417
824	15913.06933
825	15895.86971
826	15880.31317
827	15871.76503
828	15855.1892
829	15825.69461
830	15805.6822
831	15791.39711
832	15765.64142
833	15743.6308
834	15733.28275
835	15708.06833
836	15686.96201
837	15664.62415
838	15644.45533
839	15623.03242
840	15607.42601
841	15595.42942
842	15565.02488
843	15558.02733
844	15550.53883
845	15538.39867
846	15525.07578
847	15506.6522
848	15485.07261
849	15470.37869
850	15456.17267
851	15449.70775
852	15437.82796
853	15416.18855
854	15398.1533
855	15383.08636
856	15373.71531
857	15353.08087
858	15337.95889
859	15330.63291
860	15322.10601
861	15311.19653
862	15292.07535
863	15281.21678
864	15269.6533
865	15249.44021
866	15236.44745
867	15229.69822
868	15218.80941
869	15203.30191
870	15181.49906
871	15175.27542
872	15159.80625
873	15132.78135
874	15116.26708
875	15098.60105
876	15081.54546
877	15074.17544
878	15061.89603
879	15052.94926
880	15037.54304
881	15033.02471
882	15026.8719
883	15005.25162
884	14986.55072
885	14958.84119
886	14943.9608
887	14935.42285
888	14928.11287
889	14919.9095
890	14903.55214
891	14898.85236
892	14871.17543
893	14856.28892
894	14847.06064
895	14831.2847
896	14821.03282
897	14803.56809
898	14784.80085
899	14761.6138
900	14745.37974
901	14716.37513
902	14711.37306
903	14700.00831
904	14692.91962
905	14674.76548
906	14665.92097
907	14654.08549
908	14647.09338
909	14629.76563
910	14610.95226
911	14596.51928
912	14580.16454
913	14560.3856
914	14535.4219
915	14523.03259
916	14504.01001
917	14494.94639
918	14484.2234
919	14463.98199
920	14439.50899
921	14432.64203
922	14424.8301
923	14412.16596
924	14390.89219
925	14382.25159
926	14358.58976
927	14336.50238
928	14333.3546
929	14323.20644
930	14305.67569
931	14287.2255
932	14273.27534
933	14261.1986
934	14253.90074
935	14240.64639
936	14233.81952
937	14223.78834
938	14197.23902
939	14187.94024
940	14175.48551
941	14163.89469
942	14156.23011
943	14145.10216
944	14141.33148
945	14128.90662
946	14105.07572
947	14089.15639
948	14066.84082
949	14051.11034
950	14034.43209
951	14023.17149
952	14012.74813
953	13996.64016
954	13976.80424
955	13960.77582
956	13954.34186
957	13936.79654
958	13917.3232
959	13891.2983
960	13881.18843
961	13874.91881
962	13867.71053
963	13852.47031
964	13835.31293
965	13829.99709
966	13808.16506
967	13789.94228
968	13784.77659
969	13772.91478
970	13764.7827
971	13752.75315
972	13735.73974
973	13731.40361
974	13709.51535
975	13691.38104
976	13671.22019
977	13662.24812
978	13658.33354
979	13644.76686
980	13634.02274
981	13617.37046
982	13608.26231
983	13602.64999
984	13588.34158
985	13580.97937
986	13567.23653
987	13561.73858
988	13557.89182
989	13543.00789
990	13528.20551
991	13522.18832
992	13506.35865
993	13492.63063
994	13480.18225
995	13468.98383
996	13456.83534
997	13446.43102
998	13423.23289
999	13417.45847
